user_name,nickname,favs,rts,favs_rts,tweet_content,hour,date_yyyy_mm_dd,date_dd_mm_yyyy,time_code_utc
HIP HOP FACTS,DailyRapFacts,5553,5330,10883,VIEWS IS NOW ON APPLE MUSIC https://t.co/5W5IVZ1DL7,03:06:08,2016-04-29,2016-04-29,2016-04-29T03:06:08Z
9GAG Tweets,9GAGTweets,1853,3002,4855,Better than Apple watch https://t.co/SjxG2SFlpo,14:04:25,2016-04-28,2016-04-28,2016-04-28T14:04:25Z
YG Family,ygent_official,2362,1775,4137,"[KU HYE SUN - 'ê·¸ë¦¬ê³  ë´„ (Dark Yellow)']
Available now on iTunes @ https://t.co/RzBG6RJ94m
#KUHYESUN #êµ¬í˜œì„  #ê·¸ë¦¬ê³ ë´„ https://t.co/K6I7kqpsw1",09:39:10,2016-04-28,2016-04-28,2016-04-28T09:39:10Z
Jon Gruden,Faux_Gruden,1821,1680,3501,"Eli Apple is headed to the Big Apple, man. Wow. I can't even wrap my head around that. What a time to be alive.",01:24:10,2016-04-29,2016-04-29,2016-04-29T01:24:10Z
NFL on ESPN,ESPNNFL,1525,1245,2770,"Bosa at #3.
Zeke at #4.
Apple at #10.
Decker #16.
Lee at #20.

It's a Buckeye Party. https://t.co/oZY8AnLXWM",02:44:57,2016-04-29,2016-04-29,2016-04-29T02:44:57Z
Colleen Evans,ColleenB123,1897,290,2187,"You guys asked for it! we finally have NEW LEVELS on  #MirandaSingsvHaters! Download it &amp; send me pics of u playing! https://t.co/zp5iLrm1nj",16:29:53,2016-04-28,2016-04-28,2016-04-28T16:29:53Z
Miranda Sings,MirandaSings,1834,311,2145,"IM SO EXITED! My #MirandaSingsVsHaters game is UPDATED! ITS SO GOD. Download NOW iOS &amp; Android! https://t.co/iToYlV9E8W",16:26:43,2016-04-28,2016-04-28,2016-04-28T16:26:43Z
Pierce The Veil,piercetheveil,1572,562,2134,"Pre-order our album #misadventures and get #Circles instantly on @applemusic at https://t.co/lx3NwA65Yu! https://t.co/u22X9wjcYf",18:00:45,2016-04-28,2016-04-28,2016-04-28T18:00:45Z
Sam Pottorff,sampottorff,1626,410,2036,EVERYONE GO LISTEN TO THE BIRTHDAY BOYS NEW ALBUM @callmekarizma HE KILLED IT I LOVE YOU DAD!!! https://t.co/O6COGzYxzY,20:04:10,2016-04-28,2016-04-28,2016-04-28T20:04:10Z
Bill Simmons,BillSimmons,1508,400,1908,"Why does iPhone spell-check keep changing ""bong pipe"" to ""bong pope?"" Come on Apple get your shit together.",01:01:03,2016-04-29,2016-04-29,2016-04-29T01:01:03Z
Biel,Biel,911,371,1282,"Juntos Vamos AlÃ©m by Biel
https://t.co/aGRmsgHLun #CompreJVANoiTunes",23:27:40,2016-04-28,2016-04-28,2016-04-28T23:27:40Z
NFL on ESPN,ESPNNFL,598,452,1050,"Gruden: ""I like this pick, Mel.""

Mel: ""I liked Vernon Hargreaves better than Eli Apple at #10.""

#TBpick https://t.co/gmakGyjkU8",01:33:46,2016-04-29,2016-04-29,2016-04-29T01:33:46Z
Star Wars Games,StarWarsGames,805,223,1028,"Get up to 50% off on select Star Wars games in the @AppStore through May 4th! #StarWarsDay https://t.co/PYxAYtCHqH https://t.co/Wn3hT2Sm7U",23:42:31,2016-04-28,2016-04-28,2016-04-28T23:42:31Z
ESPN,espn,669,307,976,"Recapping picks 6-10:
BAL: Ronnie Stanley
SF: DeForest Buckner
TEN: Jack Conklin
CHI: Leonard Floyd
NYG: Eli Apple https://t.co/WpnpWHvP14",01:33:56,2016-04-29,2016-04-29,2016-04-29T01:33:56Z
è¥¿å· ç‘å¸Œ,mizukitty921116,869,68,937,"ã¡ã‚‡ã„ã‚«ã‚¸ãƒ¥ã‚¢ãƒ«mixãŒæ°—åˆ†â˜ºï¸
ãƒ•ã‚¡ãƒƒã‚·ãƒ§ãƒ³ã£ã¦è‡ªåˆ†ã‚’
å¤‰ãˆã¦ãã‚Œã‚‹ã‹ã‚‰æ¥½ã—ã„â™¡

i-phoneâ–¶ï¸https://t.co/JHdUnbxFQD
Androidç”¨â–¶ï¸https://t.co/4MO8GXGzYb

â˜‘ï¸ https://t.co/bzw6fsJg9E",10:10:30,2016-04-28,2016-04-28,2016-04-28T10:10:30Z
ã€å‚æœ¬ã§ã™ãŒï¼Ÿã€ã‚¢ãƒ‹ãƒ¡å…¬å¼,sakamoto_anime,452,355,807,"ã€ã‚²ãƒ¼ãƒ æƒ…å ±â‘¡ã€‘ã“ã®ã‚¢ãƒ—ãƒªã¯å‚æœ¬å›ï¼ˆCVç·‘å·å…‰ã•ã‚“ï¼‰ã®ãƒœã‚¤ã‚¹å…¥ã‚Šï¼åã‚·ãƒ¼ãƒ³ã‚’å†ç¾ã—ãŸæ”¾ç½®å‹ã‚²ãƒ¼ãƒ ã§ã€åå¾©æ¨ªè·³ã³ã§ã®æ¶ˆç«æ´»å‹•ã‚„Mr.Bee(èœ‚)ã¨ã®å¯¾æ±ºãªã©ç››ã‚Šã ãã•ã‚“ï¼ã€€ï¼ƒå‚æœ¬ã§ã™ãŒï¼Ÿ
https://t.co/jzd105REWL https://t.co/Am4PeJbOAu",03:15:46,2016-04-29,2016-04-29,2016-04-29T03:15:46Z
The Mountain Goats,mountain_goats,620,177,797,"""Sir, Apple Care does not cover us cleaning bits of pumpkin seeds out of your keyboard every 6 weeks"" ""I'll see you fascists in court, then""",14:42:13,2016-04-28,2016-04-28,2016-04-28T14:42:13Z
Joey Devries,JosephDevries,412,278,690,I wanna give you guys a free single so come on! And download these versions!!! Only 59P! https://t.co/GafRc6QUAo and https://t.co/K7qJiASwTG,17:51:19,2016-04-28,2016-04-28,2016-04-28T17:51:19Z
Spinoza,spinozait,365,315,680,"Trovato cadavere nella sede di Apple. Ora tutti ne vorranno uno.
[@pantana21]",10:05:35,2016-04-28,2016-04-28,2016-04-28T10:05:35Z
ImÃ¡genes HistÃ³ricas,HistoriaEnFotos,391,261,652,"Hoy, hace 13 aÃ±os, Apple abre la tienda de mÃºsica â€œiTunes Storeâ€. En su primera semana vendiÃ³ 1 millÃ³n de canciones https://t.co/Ss70Xpoe6c",18:20:34,2016-04-28,2016-04-28,2016-04-28T18:20:34Z
MIYAVI,MIYAVI_OFFICIAL,470,173,643,"ğŸ™ğŸ»ğŸ™ğŸ»ğŸ˜ RT @MIYAVI_STAFF ãƒ‹ãƒ¥ãƒ¼ã‚·ãƒ³ã‚°ãƒ«1ä½ã‚ã‚ŠãŒã¨ã†ã”ã–ã„ã¾ã™ï¼
Thank you for making MIYAVI's new EP no.1!!
https://t.co/KuBFLVpNnL https://t.co/usIp6x7R3P",16:12:16,2016-04-28,2016-04-28,2016-04-28T16:12:16Z
JuanDa.,Juan_Da_MC,514,61,575,Odio que la mÃºsica salga primero en Spotify y en Apple porque soy un pobre de mierda y tengo que esperar a ver si la suben en Youtube.,03:15:47,2016-04-29,2016-04-29,2016-04-29T03:15:47Z
SKEPTA,Skepta,365,210,575,"My new album #Konnichiwa May 6th.

Pre-order https://t.co/HXCxmQYQHN",23:52:31,2016-04-28,2016-04-28,2016-04-28T23:52:31Z
NBC Sports,NBCSports,297,267,564,".@OhioStAthletics is first ever with 3 top-10 picks: Joey Bosa, Ezekiel Elliott, Eli Apple. https://t.co/WS2vuz4zdv https://t.co/njTpD8HRzi",01:47:26,2016-04-29,2016-04-29,2016-04-29T01:47:26Z
Beats By Dre,beatsbydre,315,242,557,"#VIEWS. 
#OVOSOUNDRADIO. 
Stay locked. @Drake @Beats1 https://t.co/DOXpIFLJhP https://t.co/gfgaPPI9MG",02:45:01,2016-04-29,2016-04-29,2016-04-29T02:45:01Z
The Brooks,ThisIsTheBrooks,366,170,536,"Who's preorder @JosephDevries singles? GET IT NOW https://t.co/dtasdk6D34 #welshlove",19:49:01,2016-04-28,2016-04-28,2016-04-28T19:49:01Z
Word On Road,WordOnRd,292,241,533,It will be available on iTunes and Apple Music at midnight  https://t.co/W0AcI4PEgD,01:42:50,2016-04-29,2016-04-29,2016-04-29T01:42:50Z
Alice Cooper,RealAliceCooper,422,96,518,"Rehearsing, putting my new Apple Watch thru it's paces. Thanks for the watch Apple! Who's gonna be in Biloxi Friday? https://t.co/L25Ru4NTQj",21:51:28,2016-04-28,2016-04-28,2016-04-28T21:51:28Z
Word On Road,WordOnRd,254,252,506,[Purchase] Views by Drake https://t.co/II2lNthChL,03:15:44,2016-04-29,2016-04-29,2016-04-29T03:15:44Z
New York Giants,Giants,318,182,500,"""Eli Apple is a combative, physical corner with good ball skills."" - Coach McAdoo",01:38:37,2016-04-29,2016-04-29,2016-04-29T01:38:37Z
Butler Dining,butler_dining,269,213,482,"Day 4 and we're not slowing down! Win this Apple TV!! Like/RT this photo, follow our page. Easy! Winner at 3pm! https://t.co/b1J7JM1THT",12:54:51,2016-04-28,2016-04-28,2016-04-28T12:54:51Z
New York Giants,Giants,289,172,461,.@EliApple13 coming to the Big Apple! ğŸˆğŸ https://t.co/Rum29P98Ky,02:16:57,2016-04-29,2016-04-29,2016-04-29T02:16:57Z
Skip Bayless,RealSkipBayless,343,74,417,"Congrats to an old friend from my LA days, Leigh Sternberg, back in the game as Paxton Lynch's agent. Apple Pan forever.",03:10:52,2016-04-29,2016-04-29,2016-04-29T03:10:52Z
Aykut Ãœnal,ayk747,194,207,401,NiconÃ© &amp; Sascha Braemer - Never (feat. Wrongkong) parÃ§asÄ±nÄ± @AppleMusicâ€™te dinleyin. https://t.co/REm5bqQjV6,21:45:43,2016-04-28,2016-04-28,2016-04-28T21:45:43Z
Music News & Facts,musicnews_facts,192,178,370,"#VIEWS is out now on iTunes! https://t.co/U9axEhcKDQ",03:05:43,2016-04-29,2016-04-29,2016-04-29T03:05:43Z
Apple Support,AppleSupport,247,106,353,Ask to Buy allows your kids to make their own choices while you supervise spending: https://t.co/HZeuk40KSM https://t.co/c5ZroOcXS6,21:45:05,2016-04-28,2016-04-28,2016-04-28T21:45:05Z
Kid Ink,Kid_Ink,241,105,346,Grab the bro @ASAPferg new album ASAP! https://t.co/UZcoSF7QwT https://t.co/yqOVXvXyO8,19:49:09,2016-04-28,2016-04-28,2016-04-28T19:49:09Z
New York Giants,Giants,224,119,343,"""Eli Apple can play the slot and outside. However Spags wants to use him."" - Marc Ross",01:53:05,2016-04-29,2016-04-29,2016-04-29T01:53:05Z
Emily Kaplan,emilymkaplan,175,142,317,"According to his mom, Eli Apple almost missed NYG call. ""Who is calling you from a 201 area code? Don't pick that up! You're at the draft!""",01:48:19,2016-04-29,2016-04-29,2016-04-29T01:48:19Z
Apple Music,AppleMusic,238,76,314,"Premiered on #Beats1 with @zanelowe...
@tompeterodell's #Constellations âœ¨
 #WrongCrowd soon!
https://t.co/FYtfp2HXwM https://t.co/AvVtJ2mkqH",21:34:01,2016-04-28,2016-04-28,2016-04-28T21:34:01Z
CNN,CNN,68,240,308,"The 2016 election, by the numbers and on the go: The CNN Politics app https://t.co/MjjKSEEprb https://t.co/pYUfupYACv",14:30:01,2016-04-28,2016-04-28,2016-04-28T14:30:01Z
New York Giants,Giants,201,106,307,Read what the experts are saying about the selection of CB Eli Apple &gt;&gt; https://t.co/3W4z8Y1SPd https://t.co/M7tAhJzzcq,02:45:14,2016-04-29,2016-04-29,2016-04-29T02:45:14Z
Dominic DeAngelis,DOMtheB0MB,242,46,288,Eli apple?,01:43:11,2016-04-29,2016-04-29,2016-04-29T01:43:11Z
Eric Seger,EricSeger33,232,54,286,Eli Apple is up next in the Ohio State infomercial https://t.co/trxw5yJVqT,22:27:32,2016-04-28,2016-04-28,2016-04-28T22:27:32Z
Ralph Vacchiano,RVacchianoNYDN,146,118,264,CB Eli Apple is far from a terrible pick. But here's one lingering question: They couldn't have traded back and made it?,01:29:09,2016-04-29,2016-04-29,2016-04-29T01:29:09Z
Cris,CrisTheBunny,185,75,260,"GUYS MY NEW EP IS NOW ON ITUNES GO GET IT!! AND RATE IT (IT HELPS)
https://t.co/5axzqqMYSC",21:29:16,2016-04-28,2016-04-28,2016-04-28T21:29:16Z
Guardia Civil,guardiacivil,100,150,250,"Â¿Un mail que simula ser #Apple te eligiÃ³ para un premiazo si rellenas una encuesta?
TÃº verÃ¡s...#spam ganarÃ¡s seguro https://t.co/KfG6N9AFLK",16:30:57,2016-04-28,2016-04-28,2016-04-28T16:30:57Z
Cartoon Network,cartoonnetwork,177,66,243,"When you finish a new #Gumball episode... and you click this and get even more new Gumball: https://t.co/0hyGzwbwrN https://t.co/sQPqGBKkMn",21:49:58,2016-04-28,2016-04-28,2016-04-28T21:49:58Z
Did You Know?,engrossingfacts,167,72,239,"Everything you say to Siri is sent to Apple, analyzed and stored.",21:30:17,2016-04-28,2016-04-28,2016-04-28T21:30:17Z
